audio_recording_id,start_time_seconds,end_time_seconds,low_frequency_hertz,high_frequency_hertz,tags,Powerful owl,Barking owl,Southern boobook,Eastern barn owl,Masked owl,Other birds,Koala,Possum,Insects,Frogs,Car,Nothing,Wind / rain,Something else
31287,2661,2671,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,2845,2855,0,11025,114:birds|115:frogs,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
31287,545,555,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
31287,825,835,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,2661,2671,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,825,835,0,11025,105:Insects|115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
31287,545,555,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,825,835,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,545,555,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,825,835,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,545,555,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,825,835,0,11025,114:birds|115:frogs,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
31287,545,555,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,1265,1275,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,1689,1699,0,11025,105:Insects,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
31287,1689,1699,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,1689,1699,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,3569,3579,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
31287,1689,1699,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,1689,1699,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,1689,1699,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,3569,3579,0,11025,114:birds,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
31287,3213,3223,0,11025,115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
31287,93,103,0,11025,105:Insects|115:frogs,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO
